ID,Eponym,Derived From / Source,Who/What,Historical / Mythological Rationale,Meaning,Category,Type,Action,Source Batch,Record Status
49,Beaufort Scale,Francis Beaufort,British admiral,Standardized wind-force measurement.,Wind scale,Meteorology,Original entry,Review,Original master,Existing
50,Halley's Comet,Edmond Halley,English astronomer,Calculated that several historical comet sightings were the same periodic comet and predicted its return.,Famous periodic comet,Astronomy,Original entry,Review,Original master,Existing
51,Hubble Constant,Edwin Hubble,American astronomer,"Discovered that galaxies recede from each other, leading to the expanding universe model.",Rate of cosmic expansion,Astronomy,Original entry,Review,Original master,Existing
52,Hubble Space Telescope,Edwin Hubble,Astronomer,Named in honor of Hubble's contributions to cosmology.,Orbiting space telescope,Astronomy,Original entry,Review,Original master,Existing
53,Kepler's Laws,Johannes Kepler,German astronomer,Three laws describing planetary motion around the Sun.,Planetary motion laws,Astronomy,Original entry,Review,Original master,Existing
54,Copernican Revolution,Nicolaus Copernicus,Polish astronomer,Shift from geocentric to heliocentric worldview.,Fundamental conceptual change,Astronomy,Original entry,Review,Original master,Existing
55,Cassini Division,Giovanni Cassini,Italian astronomer,Large gap separating Saturn's rings.,Ring gap,Astronomy,Original entry,Review,Original master,Existing
56,Oort Cloud,Jan Oort,Dutch astronomer,Proposed distant reservoir of long-period comets.,Hypothetical comet cloud,Astronomy,Original entry,Review,Original master,Existing
57,Kuiper Belt,Gerard Kuiper,Dutch-American astronomer,Region of icy bodies beyond Neptune.,Trans-Neptunian belt,Astronomy,Original entry,Review,Original master,Existing
58,Hertzsprung–Russell Diagram,Ejnar Hertzsprung & Henry Norris Russell,Astronomers,Classifies stars by luminosity and temperature.,Stellar classification chart,Astronomy,Original entry,Review,Original master,Existing
59,Chandrasekhar Limit,Subrahmanyan Chandrasekhar,Indian-American astrophysicist,Maximum mass of a stable white dwarf (~1.4 solar masses).,White dwarf mass limit,Astronomy,Original entry,Review,Original master,Existing
60,Hubble Sequence,Edwin Hubble,Astronomer,Classification system for galaxies.,Galaxy classification,Astronomy,Original entry,Review,Original master,Existing
61,Messier Objects,Charles Messier,French astronomer,"Catalog of nebulae, clusters, and galaxies to avoid confusing them with comets.",Astronomical catalog,Astronomy,Original entry,Review,Original master,Existing
62,Caldwell Catalogue,"Patrick Moore (""Caldwell"")",British astronomer,Companion catalog to Messier objects.,Deep-sky object catalog,Astronomy,Original entry,Review,Original master,Existing
63,Roche Limit,Édouard Roche,French astronomer,Minimum distance before tidal forces destroy an orbiting body.,Orbital stability limit,Astronomy,Original entry,Review,Original master,Existing
64,Roche Lobe,Édouard Roche,Astronomer,Region around a star where orbiting matter remains gravitationally bound.,Binary star concept,Astronomy,Original entry,Review,Original master,Existing
65,Bode's Law,Johann Elert Bode,German astronomer,Empirical rule approximating planetary distances.,Planetary spacing rule,Astronomy,Original entry,Review,Original master,Existing
66,Hohmann Transfer Orbit,Walter Hohmann,German engineer,Most fuel-efficient orbital transfer between two circular orbits.,Orbital maneuver,Spaceflight,Original entry,Review,Original master,Existing
67,Lagrange Point,Joseph-Louis Lagrange,French mathematician,Positions where gravitational forces balance.,Stable orbital points,Astronomy,Original entry,Review,Original master,Existing
68,Kirkwood Gaps,Daniel Kirkwood,American astronomer,Gaps in the asteroid belt caused by Jupiter's gravity.,Asteroid belt gaps,Astronomy,Original entry,Review,Original master,Existing
69,Jeans Instability,Sir James Jeans,British physicist,Criterion for collapse of gas clouds into stars.,Star formation principle,Astrophysics,Original entry,Review,Original master,Existing
70,Eddington Limit,Arthur Eddington,English astrophysicist,Maximum luminosity before radiation pressure overcomes gravity.,Stellar luminosity limit,Astrophysics,Original entry,Review,Original master,Existing
71,Schwarzschild Radius,Karl Schwarzschild,German physicist,Radius defining the event horizon of a non-rotating black hole.,Black hole radius,Relativity,Original entry,Review,Original master,Existing
72,Kerr Black Hole,Roy Kerr,New Zealand mathematician,Solution describing rotating black holes.,Rotating black hole,Relativity,Original entry,Review,Original master,Existing
73,Hawking Radiation,Stephen Hawking,British physicist,Theoretical radiation emitted by black holes due to quantum effects.,Black hole evaporation,Physics,Original entry,Review,Original master,Existing
74,Penrose Process,Roger Penrose,British mathematician,Method of extracting energy from a rotating black hole.,Energy extraction mechanism,Physics,Original entry,Review,Original master,Existing
75,Penrose Triangle,Roger Penrose,Mathematician,Impossible geometric figure.,Optical illusion,Mathematics,Original entry,Review,Original master,Existing
76,Lorentz Transformation,Hendrik Lorentz,Dutch physicist,Mathematical basis of special relativity.,Relativity equations,Physics,Original entry,Review,Original master,Existing
77,Lorentz Force,Hendrik Lorentz,Physicist,Force on a charged particle in electric and magnetic fields.,Electromagnetic force,Physics,Original entry,Review,Original master,Existing
78,Maxwell's Equations,James Clerk Maxwell,Scottish physicist,"Unified electricity, magnetism, and light.",Fundamental EM equations,Physics,Original entry,Review,Original master,Existing
79,Faraday Cage,Michael Faraday,English scientist,Conductive enclosure blocking external electric fields.,Electromagnetic shield,Physics,Original entry,Review,Original master,Existing
80,Faraday Effect,Michael Faraday,Scientist,Rotation of polarized light by a magnetic field.,Magneto-optic effect,Physics,Original entry,Review,Original master,Existing
81,Fermi Paradox,Enrico Fermi,Italian physicist,Contradiction between high probability of extraterrestrial life and lack of evidence.,SETI paradox,Astronomy,Original entry,Review,Original master,Existing
82,Fermi Energy,Enrico Fermi,Physicist,Highest occupied energy level at absolute zero.,Quantum energy level,Physics,Original entry,Review,Original master,Existing
83,Fermi Golden Rule,Enrico Fermi,Physicist,Calculates quantum transition probabilities.,Quantum mechanics principle,Physics,Original entry,Review,Original master,Existing
84,Feynman Diagram,Richard Feynman,American physicist,Visual representation of particle interactions.,Particle physics diagram,Physics,Original entry,Review,Original master,Existing
85,Feynman Technique,Richard Feynman,Physicist,Learning method based on simple explanations.,Study technique,Education,Original entry,Review,Original master,Existing
86,Dirac Equation,Paul Dirac,British physicist,Relativistic equation describing electrons.,Quantum equation,Physics,Original entry,Review,Original master,Existing
87,Bose–Einstein Condensate,Satyendra Nath Bose & Albert Einstein,Physicists,Predicted fifth state of matter at extremely low temperatures.,Quantum state of matter,Physics,Original entry,Review,Original master,Existing
88,Bose Gas,Satyendra Nath Bose,Indian physicist,Gas composed of bosons obeying Bose-Einstein statistics.,Quantum gas,Physics,Original entry,Review,Original master,Existing
89,Boson,Satyendra Nath Bose,Indian physicist,Family of particles named in Bose's honor.,Force-carrying particle,Physics,Original entry,Review,Original master,Existing
90,Higgs Boson,Peter Higgs,British physicist,Particle associated with the Higgs field giving mass to elementary particles.,Elementary particle,Physics,Original entry,Review,Original master,Existing
91,Higgs Field,Peter Higgs,Physicist,Quantum field responsible for particle mass.,Quantum field,Physics,Original entry,Review,Original master,Existing
92,Raman Effect,C. V. Raman,Indian physicist,Inelastic scattering of light by molecules.,Spectroscopic phenomenon,Physics,Original entry,Review,Original master,Existing
93,Raman Spectroscopy,C. V. Raman,Physicist,Analytical technique based on Raman scattering.,Chemical analysis method,Chemistry,Original entry,Review,Original master,Existing
94,Mössbauer Effect,Rudolf Mössbauer,German physicist,Recoil-free emission and absorption of gamma rays.,Nuclear physics phenomenon,Physics,Original entry,Review,Original master,Existing
95,Zeeman Effect,Pieter Zeeman,Dutch physicist,Splitting of spectral lines in magnetic fields.,Spectral phenomenon,Physics,Original entry,Review,Original master,Existing
96,Stark Effect,Johannes Stark,German physicist,Splitting of spectral lines in electric fields.,Spectral phenomenon,Physics,Original entry,Review,Original master,Existing
97,Compton Effect,Arthur Compton,American physicist,X-ray scattering demonstrating particle nature of light.,Photon scattering,Physics,Original entry,Review,Original master,Existing
98,Hall–Petch Relationship,E. O. Hall & N. J. Petch,Metallurgists,Grain refinement increases metal strength.,Materials science principle,Engineering,Original entry,Review,Original master,Existing
99,Volt,Alessandro Volta,Italian physicist,Invented the first practical electric battery in 1800.,Unit of electric potential,Physics,Original entry,Review,Original master,Existing
100,Ohm,Georg Ohm,German physicist,"Formulated Ohm's Law relating voltage, current, and resistance.",Unit of electrical resistance,Physics,Original entry,Review,Original master,Existing
101,Pascal,Blaise Pascal,French mathematician,Pioneer of probability and fluid mechanics.,Unit of pressure,Physics,Original entry,Review,Original master,Existing
102,Newton,Isaac Newton,English physicist,Defined laws of motion and gravitation.,Unit of force,Physics,Original entry,Review,Original master,Existing
103,Joule,James Prescott Joule,English physicist,Established relationship between heat and mechanical work.,Unit of energy,Physics,Original entry,Review,Original master,Existing
104,Kelvin,Lord Kelvin,William Thomson,Developed the absolute temperature scale.,Absolute temperature scale,Physics,Original entry,Review,Original master,Existing
105,Farad,Michael Faraday,English scientist,Pioneer of electromagnetism and electrochemistry.,Unit of capacitance,Physics,Original entry,Review,Original master,Existing
106,Henry,Joseph Henry,American physicist,Discovered electromagnetic induction independently of Faraday.,Unit of inductance,Physics,Original entry,Review,Original master,Existing
107,Hertz,Heinrich Hertz,German physicist,Demonstrated electromagnetic waves experimentally.,Unit of frequency,Physics,Original entry,Review,Original master,Existing
108,Becquerel,Henri Becquerel,French physicist,Discovered natural radioactivity.,Unit of radioactivity,Physics,Original entry,Review,Original master,Existing
109,Curie,Marie & Pierre Curie,Scientists,Pioneers in radioactivity research.,Unit of radioactivity (historical),Physics,Original entry,Review,Original master,Existing
110,Roentgen,Wilhelm Röntgen,German physicist,Discovered X-rays in 1895.,Unit of radiation exposure,Physics,Original entry,Review,Original master,Existing
111,Gauss,Carl Friedrich Gauss,German mathematician,Major contributions to mathematics and magnetism.,Unit of magnetic flux density (CGS),Mathematics,Original entry,Review,Original master,Existing
112,Weber,Wilhelm Weber,German physicist,Collaborated with Gauss on electromagnetism.,Unit of magnetic flux,Physics,Original entry,Review,Original master,Existing
113,Siemens,Werner von Siemens,German engineer,Pioneer in electrical engineering.,Unit of electrical conductance,Engineering,Original entry,Review,Original master,Existing
114,Diesel,Rudolf Diesel,German engineer,Invented compression ignition engine.,Diesel engine/fuel,Engineering,Original entry,Review,Original master,Existing
115,Otis,Elisha Otis,American inventor,Invented elevator safety brake.,Elevator brand that became synonymous with elevators,Engineering,Original entry,Review,Original master,Existing
116,Gatling Gun,Richard Gatling,American inventor,Developed rapid-fire mechanical gun.,Early machine gun,Military,Original entry,Review,Original master,Existing
117,Colt,Samuel Colt,American inventor,Perfected the revolver.,Revolver,Firearms,Original entry,Review,Original master,Existing
118,Winchester,Oliver Winchester,Industrialist,Company popularized repeating rifles.,Lever-action rifle,Firearms,Original entry,Review,Original master,Existing
119,Derringer,Henry Deringer,Gunsmith,Small concealable pistol named after him.,Pocket pistol,Firearms,Original entry,Review,Original master,Existing
120,Bowdlerize,Thomas Bowdler,English editor,Published expurgated Shakespeare editions.,Remove offensive material,Literature,Original entry,Review,Original master,Existing
121,Mesmerize,Franz Mesmer,Austrian physician,"Proposed ""animal magnetism.""",Hypnotize; fascinate,Medicine,Original entry,Review,Original master,Existing
122,Nicotine,Jean Nicot,French diplomat,Introduced tobacco to the French court.,Tobacco alkaloid,Botany,Original entry,Review,Original master,Existing
123,Nicotiana,Jean Nicot,Diplomat,Tobacco genus named after him.,Tobacco plant,Botany,Original entry,Review,Original master,Existing
124,Dahlia,Anders Dahl,Swedish botanist,Student of Linnaeus.,Flower,Botany,Original entry,Review,Original master,Existing
125,Fuchsia,Leonhart Fuchs,German botanist,Honored by Linnaeus.,Flower,Botany,Original entry,Review,Original master,Existing
126,Magnolia,Pierre Magnol,French botanist,Pioneer of plant classification.,Flowering tree,Botany,Original entry,Review,Original master,Existing
127,Gardenia,Alexander Garden,Scottish botanist,American naturalist.,Flower,Botany,Original entry,Review,Original master,Existing
128,Camellia,Georg Kamel,Jesuit botanist,Missionary who studied Asian flora.,Flower,Botany,Original entry,Review,Original master,Existing
129,Begonia,Michel Bégon,French governor,Patron of botany.,Flower,Botany,Original entry,Review,Original master,Existing
130,Poinsettia,Joel Poinsett,American diplomat,Introduced the Mexican plant to the U.S.,Christmas flower,Botany,Original entry,Review,Original master,Existing
131,Forsythia,William Forsyth,Scottish horticulturist,Royal gardener.,Flowering shrub,Botany,Original entry,Review,Original master,Existing
132,Zinnia,Johann Zinn,German botanist,Described many flowering plants.,Flower,Botany,Original entry,Review,Original master,Existing
133,Wisteria,Caspar Wistar,American physician,Anatomist and educator.,Climbing vine,Botany,Original entry,Review,Original master,Existing
134,Philodendron,—,Greek roots (not an eponym),Often mistaken for an eponym but derived from Greek words.,Tropical plant,Not an eponym,Original entry,Review,Original master,Existing
135,Graham Cracker,Sylvester Graham,American minister,Promoted vegetarian diets and whole grains.,Whole-wheat cracker,Food,Original entry,Review,Original master,Existing
136,Graham Flour,Sylvester Graham,Health reformer,Developed coarse whole-wheat flour.,Whole-wheat flour,Food,Original entry,Review,Original master,Existing
137,Caesar Salad,Caesar Cardini,Italian-American restaurateur,Created the salad in Tijuana in 1924.,Salad,Food,Original entry,Review,Original master,Existing
138,Beef Wellington,Duke of Wellington,British general,Dish allegedly named in his honor.,Beef entrée,Food,Original entry,Review,Original master,Existing
139,Nachos,"Ignacio ""Nacho"" Anaya",Mexican chef,Improvised snack for customers.,Tortilla chips with toppings,Food,Original entry,Review,Original master,Existing
140,Margherita Pizza,Queen Margherita,Queen of Italy,Pizza colors honored the Italian flag and queen.,Pizza variety,Food,Original entry,Review,Original master,Existing
141,Pavlova,Anna Pavlova,Russian ballerina,Dessert created in her honor.,Meringue dessert,Food,Original entry,Review,Original master,Existing
142,Sacher Torte,Franz Sacher,Austrian chef,Invented Vienna's famous chocolate cake.,Chocolate cake,Food,Original entry,Review,Original master,Existing
143,Beef Stroganoff,Count Stroganov,Russian nobleman,Dish created for his household.,Beef dish,Food,Original entry,Review,Original master,Existing
144,Earl Grey Tea,Earl Grey,British Prime Minister,Tea blend reputedly created for him.,Flavored tea,Beverage,Original entry,Review,Original master,Existing
145,Americano,American soldiers,WWII Italy,Soldiers diluted espresso with water.,Coffee drink,Beverage,Original entry,Review,Original master,Existing
146,Martini,Martinez (disputed),Cocktail origin debated,"One theory traces it to Martinez, California.",Cocktail,Beverage,Original entry,Review,Original master,Existing
147,Wellington Boot,Duke of Wellington,Military commander,Modified riding boots became fashionable.,Waterproof boot,Clothing,Original entry,Review,Original master,Existing
148,Raglan Sleeve,Lord Raglan,British field marshal,Coat designed after he lost an arm.,Sleeve style,Clothing,Original entry,Review,Original master,Existing
149,Bunsen Burner,Robert Bunsen,German chemist,Designed an efficient laboratory gas burner for clean combustion.,Laboratory burner,Chemistry,Original entry,Review,Original master,Existing
150,Avogadro Number,Amedeo Avogadro,Italian physicist,Proposed that equal volumes of gases contain equal numbers of molecules.,Number of particles in one mole,Chemistry,Original entry,Review,Original master,Existing
151,Boyle's Law,Robert Boyle,Anglo-Irish chemist,Established inverse relationship between gas pressure and volume.,Gas law,Chemistry,Original entry,Review,Original master,Existing
152,Charles' Law,Jacques Charles,French physicist,Demonstrated relationship between gas volume and temperature.,Gas law,Chemistry,Original entry,Review,Original master,Existing
153,Dalton,John Dalton,English chemist,Developed modern atomic theory.,Atomic mass unit (historical); color blindness term,Chemistry,Original entry,Review,Original master,Existing
154,Avogadrite,Amedeo Avogadro,Scientist,Mineral named in his honor.,Mineral,Geology,Original entry,Review,Original master,Existing
155,Mohs Scale,Friedrich Mohs,German mineralogist,Created hardness scale from 1–10.,Mineral hardness scale,Geology,Original entry,Review,Original master,Existing
156,Richter Scale,Charles Richter,American seismologist,Developed logarithmic earthquake magnitude scale.,Earthquake magnitude,Geology,Original entry,Review,Original master,Existing
157,Mercalli Scale,Giuseppe Mercalli,Italian volcanologist,Developed earthquake intensity scale based on observed effects.,Earthquake intensity,Geology,Original entry,Review,Original master,Existing
158,Saffir–Simpson Scale,Herbert Saffir & Robert Simpson,Engineer & Meteorologist,Categorized hurricanes by destructive potential.,Hurricane intensity scale,Meteorology,Original entry,Review,Original master,Existing
159,Hubble Telescope,Edwin Hubble,Astronomer,Space telescope named to honor his discoveries.,Space observatory,Astronomy,Original entry,Review,Original master,Existing
160,Copernican,Nicolaus Copernicus,Polish astronomer,Proposed heliocentric model of the Solar System.,Radical conceptual change,Astronomy,Original entry,Review,Original master,Existing
161,Parkinson Disease,James Parkinson,English physician,"Described ""shaking palsy"" in 1817.",Movement disorder,Medicine,Original entry,Review,Original master,Existing
162,Asperger Syndrome*,Hans Asperger,Austrian pediatrician,Described a pattern of autistic traits; terminology has largely been replaced by autism spectrum disorder in modern clinical practice.,Historical diagnostic term,Medicine,Original entry,Review,Original master,Existing
163,Tourette Syndrome,Georges Gilles de la Tourette,French neurologist,Identified neurological tic disorder.,Tic disorder,Medicine,Original entry,Review,Original master,Existing
164,Pasteurization,Louis Pasteur,French chemist,Demonstrated heat could kill harmful microbes without spoiling food.,Heat treatment of food,Food Science,Original entry,Review,Original master,Existing
165,Caesarean Section,Julius Caesar (traditional association),Roman leader,"Traditionally associated with Caesar's birth, though historians dispute this origin.",Surgical childbirth,Medicine,Original entry,Review,Original master,Existing
166,Bloomers,Amelia Bloomer,American women's rights advocate,Popularized practical loose trousers for women in dress reform.,Loose undergarments/trousers,Clothing,Original entry,Review,Original master,Existing
167,Fedora,Princess Fedora,Fictional character,Hat became fashionable after actresses wore it in the play *Fédora*.,Soft felt hat,Clothing,Original entry,Review,Original master,Existing
168,Stetson,John B. Stetson,American hatmaker,Produced the iconic cowboy hat.,Wide-brimmed hat,Clothing,Original entry,Review,Original master,Existing
169,Mackintosh,Charles Macintosh,Scottish chemist,Invented waterproof rubberized fabric.,Waterproof raincoat,Clothing,Original entry,Review,Original master,Existing
170,Balaclava,Battle of Balaclava,Crimean War battle,Knitted headgear worn by soldiers during the battle.,Woolen face covering,Clothing,Original entry,Review,Original master,Existing
171,Bikini,Bikini Atoll,Pacific atoll,"Swimwear named after the atomic test site to suggest an ""explosive"" impact.",Two-piece swimsuit,Clothing,Original entry,Review,Original master,Existing
172,Chesterfield,Earl of Chesterfield,British statesman,Sofa style associated with aristocratic taste.,Leather sofa,Furniture,Original entry,Review,Original master,Existing
173,Murphy Bed,William Murphy,American inventor,Created a fold-away bed to maximize living space.,Folding bed,Furniture,Original entry,Review,Original master,Existing
174,Mason Jar,John Mason,American tinsmith,Patented threaded glass jar for home canning.,Glass preserving jar,Household,Original entry,Review,Original master,Existing
175,Biro,László Bíró,Hungarian journalist,Invented the modern ballpoint pen.,Ballpoint pen,Writing,Original entry,Review,Original master,Existing
176,Tupperware,Earl Tupper,American inventor,Developed airtight plastic food containers.,Plastic food containers,Household,Original entry,Review,Original master,Existing
177,Jacuzzi,Candido Jacuzzi,Italian-American inventor,Hydrotherapy pump designed for his son's arthritis became the modern whirlpool spa.,Whirlpool bath,Household/Engineering,Original entry,Review,Original master,Existing
178,Damoclean (Sword of Damocles),Damocles,Courtier of Dionysius I of Syracuse,"Damocles envied the ruler's fortune until he sat beneath a sword suspended by a single horsehair, symbolizing the constant danger faced by those in power.",Ever-present danger despite success,Greek History,Original entry,Review,Original master,Existing
179,Sisyphean,Sisyphus,Mythical king of Corinth,"Condemned by the gods to roll a boulder uphill forever, only for it to roll back each time.","Endless, futile labor",Greek Mythology,Original entry,Review,Original master,Existing
180,Tantalize,Tantalus,King punished in Hades,Forced to stand in water beneath fruit that always receded whenever he tried to eat or drink.,To tease with something unattainable,Greek Mythology,Original entry,Review,Original master,Existing
181,Narcissism,Narcissus,Beautiful youth,Fell in love with his own reflection and wasted away beside a pool.,Excessive self-love,Greek Mythology,Original entry,Review,Original master,Existing
182,Oedipal,Oedipus,King of Thebes,"Unknowingly killed his father and married his mother, inspiring Freud's psychological theory.",Relating to the Oedipus complex,Psychology,Original entry,Review,Original master,Existing
183,Pandora's Box,Pandora,First woman in Greek mythology,"Opened a forbidden jar releasing all evils into the world, leaving only hope inside.",Source of unforeseen troubles,Greek Mythology,Original entry,Review,Original master,Existing
184,Procrustean,Procrustes,Mythical bandit,Forced travelers to fit his iron bed by stretching or amputating them.,Rigidly forcing conformity,Greek Mythology,Original entry,Review,Original master,Existing
185,Pygmalion Effect,Pygmalion,Cypriot sculptor,His statue came to life after Aphrodite answered his prayers; later adapted in psychology to describe self-fulfilling expectations.,Expectations influencing performance,Psychology,Original entry,Review,Original master,Existing
186,Midas Touch,King Midas,Phrygian king,"Granted the power to turn everything he touched into gold, which became a curse.",Ability to generate wealth or success,Greek Mythology,Original entry,Review,Original master,Existing
187,Mentor,Mentor,Friend of Odysseus,Entrusted with guiding Telemachus while Odysseus was away; Athena often appeared in his form.,Trusted adviser or guide,Greek Mythology,Original entry,Review,Original master,Existing
188,Odyssey,Odysseus,Hero of Homer's *Odyssey*,His ten-year journey home after the Trojan War became synonymous with a long adventurous voyage.,Long journey full of challenges,Literature,Original entry,Review,Original master,Existing
189,Herculean,Hercules (Heracles),Greek hero,Completed the Twelve Labors requiring extraordinary strength and endurance.,Requiring immense effort,Greek Mythology,Original entry,Review,Original master,Existing
